"key","DE_F"
"PIAT_001","Willkommen zum PIAT!"
"PIAT_002","Beim Pitch Imagery Arrow Test (PIAT) müssen Sie sich musikalische Töne mithilfe von Pfeilen vorstellen, die auf einem Bildschirm gezeigt werden."
"PIAT_003","Jeder Durchgang beginnt mit dem Wort 'Begin' auf dem Bildschirm. Sie hören eine aufsteigende Dur-Tonleiter, die Ihnen Orientierung und den Kontext für den Durchgang gibt. Sie sehen dann einen Punkt auf dem Bildschirm und hören eine Startnote. Klicken Sie auf 'Weiter' um ein Beispiel zu sehen."
"PIAT_004","Hier ist ein Kontextbeispiel:"
"PIAT_005","Es folgt dann eine Reihe von Auf- oder Abwärtspfeilen, zu denen der jeweils passende Ton erklingt, der auf der Tonleiter auf- oder absteigt. Klicken Sie 'Weiter' um ein Beispiel für die Pfeile zu sehen, die nach der aufsteigenden Dur-Tonleiter und der Start-Note erscheinen."
"PIAT_006","Hier ist ein Beispiel der Pfeile, die nach der aufsteigenden Dur-Tonleiter und der Start-Note erscheinen:"
"PIAT_007","Ab einem bestimmten Zeitpunkt wird Ihnen ein Pfeil ohne den dazugehörigen Ton angezeigt. Deine Aufgabe ist es, sich genau diesen fehlenden Ton vorzustellen. Die Anzahl der Töne, die Sie sich vorstellen sollen, ist unterschiedlich (von 1 bis zu 5 Tönen). Das Wort 'hold' erscheint nach dem letzten stillen Pfeil der Reihe. Halten Sie dann diesen Ton in Ihrer Vorstellung. Klicken Sie auf 'Weiter' und Sie bekommen ein Beispiel mit stillem Pfeil am Ende."
"PIAT_008","Hier ist ein Beispiel:"
"PIAT_009","Um zu testen, ob Sie sich den Ton richtig vorgestellt hast, hören Sie  am Ende einen Testton und sehen gleichzeitig ein weißes Kreuz. Der Ton passt entweder zu der Note, die Sie sich vorstellen, oder er passt nicht. Klicken Sie 'Weiter' für ein ganzes Testbeispiel und versuchen Sie, richtig zu antworten."
"PIAT_010","Hier ist ein vollständiges Testbeispiel:"
"PIAT_011","Am besten stellen Sie sich nur die Töne vor und versuchen, nicht zu summen oder sich zu bewegen. Von früheren Tests wissen wir, dass Menschen, die nur ihre Vorstellung verwenden, die besten Ergebnisse erreichen."
"PIAT_012","Es kommen jetzt drei Übungsbeispiele, zu denen Sie Feedback bekommen. Sie können diese Beispiele so oft wiederholen, wie Sie möchten."
"PIAT_013","Passt der letzte Ton zu der Note, die Sie sich vorgestellt haben?"
"PIAT_014","Sie haben richtig geantwortet!"
"PIAT_015","Möchten Sie die Übungsbeispiele noch einmal versuchen?"
"PIAT_016","Gleich geht es mit dem Haupttest los! Hier gibt es {{num_items}} Aufgaben, Ähnlich wie die Übungsbeispiele, die Sie gerade bearbeitet haben. Zu diesen Aufgaben gibt es kein Feedback. Einige können sehr schwierig sein. Das ist normal, und wir erwarten nicht, dass Sie alles richtig machen. Wenn sie die Antwort wirklich nicht wissen, entscheiden Sie einfach nach Ihrem Gefühl."
"PIAT_017","Frage **{{item_number}}** von **{{num_items_in_test}}**"
"PIAT_018","Sie haben den Test geschafft!"
"PIAT_019","Ihre  Daten wurden gespeichert."
"PIAT_020","Passt"
"PIAT_021","Passt nicht"
"PIAT_022","Ja"
"PIAT_023","Nein"
"PIAT_024","Weiter"
"PIAT_025","Sie haben falsch geantwortet."
"PIAT_026","Ton-Vorstellungs-Test"
"enter_p_id","Bitte Sie Ihre Teilnehmer-ID ein."
"results_have_been_saved","Ihre  Ergebnisse sind gespeichert."
"you_may_close_browser","Sie können dieses Fenster jetzt schließen."
